"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000146267.12",368.508542829641,2.94966129344429,0.446634937144697,6.60418845041826,3.99700821201992e-11,1.81473055066176e-08
"ENSG00000136237.19",1279.13959392186,1.44970030567657,0.220075127281643,6.5872973633286,4.47904659164848e-11,1.98937828073848e-08
"ENSG00000111087.10",66.3104315753296,-3.11542795951214,0.4747906473536,-6.56168771831752,5.32021440836895e-11,2.31270852292311e-08
"ENSG00000185015.8",1057.4854489382,1.13319638513393,0.172912916238194,6.55356701967195,5.61787024676443e-11,2.39122306274259e-08
"ENSG00000213759.10",28.0049182118631,-4.04466969854395,0.618099572037989,-6.54371865233286,6.00076422179629e-11,2.50207375133714e-08
"ENSG00000134569.10",4988.85407009532,3.39427304199551,0.519248969360324,6.53688931954356,6.28114951897186e-11,2.56660331644228e-08
"ENSG00000115414.21",540307.508714628,5.42362681320133,0.830081766391867,6.5338464628326,6.41016608398817e-11,2.56796280905809e-08
"ENSG00000115828.17",2822.18919287965,2.86707189006097,0.440132777254802,6.5141067382972,7.31234882534364e-11,2.81884148774709e-08
"ENSG00000282221.1",51.5519034044019,2.21900611239893,0.340607979964279,6.5148388849599,7.27677204587653e-11,2.81884148774709e-08
"ENSG00000103353.16",5394.44127910335,0.785474653942593,0.121383363120261,6.4710239834464,9.73409811636078e-11,3.68291404843272e-08
"ENSG00000138315.13",99.8320426212437,3.45831087599919,0.535076936100674,6.46320303244862,1.02509603198436e-10,3.8079521871768e-08
"ENSG00000158352.16",2134.98281737128,2.4218018500976,0.377832619285352,6.40972146523056,1.45785733265841e-10,5.31883627920427e-08
"ENSG00000171509.16",75.4712917159139,-2.48443730506218,0.387803439003318,-6.40643443350413,1.48962125275711e-10,5.33937751141762e-08
"ENSG00000184156.17",918.744263162087,3.9171251896493,0.611830768453684,6.40230173377727,1.53051812793937e-10,5.39138204688435e-08
"ENSG00000280032.1",37.7993084255804,1.2294861325721,0.192155722818056,6.39838415708412,1.57029809701114e-10,5.43775600339569e-08
"ENSG00000123352.18",2463.7621368164,0.903988725703931,0.141448889636947,6.39092132871578,1.64889205104703e-10,5.61475224915696e-08
"ENSG00000151632.17",174.286514281581,-2.93058892481784,0.459887248513166,-6.37240744180786,1.86083725920475e-10,6.23258459718234e-08
